抽卡时间,名称,类别,星级
2020-09-28 09:01:10,祭礼弓,武器,4
2020-09-28 09:01:10,飞天御剑,武器,3
2020-09-28 09:01:10,铁影阔剑,武器,3
2020-09-28 09:01:10,黎明神剑,武器,3
2020-09-28 09:01:10,讨龙英杰谭,武器,3
2020-09-28 09:01:10,讨龙英杰谭,武器,3
2020-09-28 09:01:10,鸦羽弓,武器,3
2020-09-28 09:01:10,以理服人,武器,3
2020-09-28 09:01:10,翡玉法球,武器,3
2020-09-28 09:01:10,菲谢尔,角色,4
2020-09-28 09:01:19,魔导绪论,武器,3
2020-09-28 09:01:19,翡玉法球,武器,3
2020-09-28 09:01:19,黑缨枪,武器,3
2020-09-28 09:01:19,飞天御剑,武器,3
2020-09-28 09:01:19,刻晴,角色,5
2020-09-28 09:01:19,讨龙英杰谭,武器,3
2020-09-28 09:01:19,魔导绪论,武器,3
2020-09-28 09:01:19,黑缨枪,武器,3
2020-09-28 09:01:19,凝光,角色,4
2020-09-28 09:01:19,神射手之誓,武器,3
2020-09-28 09:02:03,魔导绪论,武器,3
2020-09-28 09:02:03,飞天御剑,武器,3
2020-09-28 09:02:03,铁影阔剑,武器,3
2020-09-28 09:02:03,黑缨枪,武器,3
2020-09-28 09:02:03,魔导绪论,武器,3
2020-09-28 09:02:03,以理服人,武器,3
2020-09-28 09:02:03,黎明神剑,武器,3
2020-09-28 09:02:03,黑缨枪,武器,3
2020-09-28 09:02:03,芭芭拉,角色,4
2020-09-28 09:02:03,菲谢尔,角色,4
2020-09-28 09:02:15,以理服人,武器,3
2020-09-28 09:02:15,鸦羽弓,武器,3
2020-09-28 09:02:15,讨龙英杰谭,武器,3
2020-09-28 09:02:15,以理服人,武器,3
2020-09-28 09:02:15,讨龙英杰谭,武器,3
2020-09-28 09:02:15,翡玉法球,武器,3
2020-09-28 09:02:15,魔导绪论,武器,3
2020-09-28 09:02:15,翡玉法球,武器,3
2020-09-28 09:02:15,黑缨枪,武器,3
2020-09-28 09:02:15,芭芭拉,角色,4
2020-09-28 09:02:24,以理服人,武器,3
2020-09-28 09:02:24,以理服人,武器,3
2020-09-28 09:02:24,沐浴龙血的剑,武器,3
2020-09-28 09:02:24,飞天御剑,武器,3
2020-09-28 09:02:24,黑缨枪,武器,3
2020-09-28 09:02:24,讨龙英杰谭,武器,3
2020-09-28 09:02:24,铁影阔剑,武器,3
2020-09-28 09:02:24,黎明神剑,武器,3
2020-09-28 09:02:24,菲谢尔,角色,4
2020-09-28 09:02:24,弹弓,武器,3
2020-09-28 09:02:31,翡玉法球,武器,3
2020-09-28 09:02:31,黑缨枪,武器,3
2020-09-28 09:02:31,飞天御剑,武器,3
2020-09-28 09:02:31,飞天御剑,武器,3
2020-09-28 09:02:31,讨龙英杰谭,武器,3
2020-09-28 09:02:31,沐浴龙血的剑,武器,3
2020-09-28 09:02:31,以理服人,武器,3
2020-09-28 09:02:31,绝弦,武器,4
2020-09-28 09:02:31,飞天御剑,武器,3
2020-09-28 09:02:31,鸦羽弓,武器,3
2020-09-28 09:02:39,温迪,角色,5
2020-09-28 09:02:39,讨龙英杰谭,武器,3
2020-09-28 09:02:39,魔导绪论,武器,3
2020-09-28 09:02:39,弹弓,武器,3
2020-09-28 09:02:39,鸦羽弓,武器,3
2020-09-28 09:02:39,讨龙英杰谭,武器,3
2020-09-28 09:02:39,芭芭拉,角色,4
2020-09-28 09:02:39,黎明神剑,武器,3
2020-09-28 09:02:39,讨龙英杰谭,武器,3
2020-09-28 09:02:39,弹弓,武器,3
2020-09-29 06:35:49,弹弓,武器,3
2020-09-29 06:35:49,黑缨枪,武器,3
2020-09-29 06:35:49,神射手之誓,武器,3
2020-09-29 06:35:49,讨龙英杰谭,武器,3
2020-09-29 06:35:49,铁影阔剑,武器,3
2020-09-29 06:35:49,讨龙英杰谭,武器,3
2020-09-29 06:35:49,祭礼剑,武器,4
2020-09-29 06:35:49,讨龙英杰谭,武器,3
2020-09-29 06:35:49,神射手之誓,武器,3
2020-09-29 06:35:49,神射手之誓,武器,3
2020-09-29 06:35:59,魔导绪论,武器,3
2020-09-29 06:35:59,神射手之誓,武器,3
2020-09-29 06:35:59,翡玉法球,武器,3
2020-09-29 06:35:59,黎明神剑,武器,3
2020-09-29 06:35:59,弹弓,武器,3
2020-09-29 06:35:59,香菱,角色,4
2020-09-29 06:35:59,雷泽,角色,4
2020-09-29 06:35:59,以理服人,武器,3
2020-09-29 06:35:59,芭芭拉,角色,4
2020-09-29 06:35:59,弹弓,武器,3
2020-09-29 06:36:11,黎明神剑,武器,3
2020-09-29 06:36:11,鸦羽弓,武器,3
2020-09-29 06:36:11,翡玉法球,武器,3
2020-09-29 06:36:11,沐浴龙血的剑,武器,3
2020-09-29 06:36:11,黎明神剑,武器,3
2020-09-29 06:36:11,以理服人,武器,3
2020-09-29 06:36:11,沐浴龙血的剑,武器,3
2020-09-29 06:36:11,昭心,武器,4
2020-09-29 06:36:11,魔导绪论,武器,3
2020-09-29 06:36:11,以理服人,武器,3
2020-09-29 06:36:20,铁影阔剑,武器,3
2020-09-29 06:36:20,翡玉法球,武器,3
2020-09-29 06:36:20,魔导绪论,武器,3
2020-09-29 06:36:20,弹弓,武器,3
2020-09-29 06:36:20,魔导绪论,武器,3
2020-09-29 06:36:20,以理服人,武器,3
2020-09-29 06:36:20,香菱,角色,4
2020-09-29 06:36:20,黎明神剑,武器,3
2020-09-29 06:36:20,以理服人,武器,3
